건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
21005,휴게소,155257,1,127.157006763,36.7375616023
21005,휴게소,155256,1,127.1575240534,36.7370306374
21005,휴게소,74924,1,127.17082569290001,36.757253104200004
21005,휴게소,74923,1,127.17100626940001,36.757200783
21005,휴게소,74799,1,127.1661994723,36.768727949
21005,휴게소,74800,1,127.1663046306,36.7687399076
21005,휴게소,30924,1,127.37357076389999,36.7739836188
21005,휴게소,30884,1,127.38170473219999,36.7709067194
21005,휴게소,30885,1,127.3816707056,36.771052768800004
21005,휴게소,30894,1,127.38336966959999,36.769580814099996
21005,휴게소,50169,1,127.1385600189,36.6856539534
21005,휴게소,39362,1,127.26382442319999,36.7302306179
21005,휴게소,39350,1,127.26426773709998,36.7302117984
21005,휴게소,39348,1,127.2645594125,36.7301792929
21005,휴게소,39365,1,127.2633840581,36.7303198283
21005,휴게소,48844,1,127.1903221885,36.76765973
21005,휴게소,48540,1,127.2307799159,36.7708389014
21005,휴게소,48531,1,127.23341753049999,36.7693890985
21005,휴게소,48529,1,127.23319996059999,36.769426618000004
21005,휴게소,49548,1,127.36641413049999,36.789642371599996
21005,휴게소,54217,1,127.1696513422,36.7441286815
21005,휴게소,152654,1,127.1730995631,36.788987168
21005,휴게소,152655,1,127.17306739440001,36.788948054
21005,휴게소,63435,1,127.1734284677,36.7877879083
21005,휴게소,63408,1,127.1734989351,36.788083624
21005,휴게소,63409,1,127.17340310690001,36.7883935314
21005,휴게소,63407,1,127.1733601638,36.7881106057
21005,휴게소,63432,1,127.1737630008,36.7870721527
21005,휴게소,63431,1,127.17369987110001,36.7870741317
21005,휴게소,63406,1,127.17352231790001,36.788163628
21005,휴게소,63433,1,127.173701529,36.7876108182
21005,휴게소,63434,1,127.1738714638,36.7875808335
21005,휴게소,63410,1,127.1737043977,36.787916676900004
21005,휴게소,88876,1,127.1807578787,36.8553150453
21005,휴게소,88892,1,127.18034982629999,36.8538250042
21005,휴게소,88882,1,127.18098542959999,36.8556762247
21005,휴게소,88879,1,127.1809522965,36.855481175
21005,휴게소,88871,1,127.1806134405,36.8555155665
21005,휴게소,88874,1,127.1806507985,36.8551755042
21005,휴게소,88870,1,127.18054671610001,36.8551455571
21005,휴게소,88893,1,127.1803001702,36.8543493371
21005,휴게소,88885,1,127.18069035959999,36.8538246897
21005,휴게소,88864,1,127.1812132708,36.8560259377
21005,휴게소,88865,1,127.1809685113,36.8560757284
21005,휴게소,88891,1,127.1800085024,36.8539310336
21005,휴게소,88866,1,127.1810428301,36.8560386881
21005,휴게소,88873,1,127.1805627467,36.8549297211
21005,휴게소,88889,1,127.1802293207,36.85411395
21005,휴게소,88877,1,127.1807220698,36.8548090453
21005,휴게소,88878,1,127.1806213031,36.8547830655
21005,휴게소,88886,1,127.1803738073,36.8543076274
21005,휴게소,88887,1,127.1804010864,36.8542962733
21005,휴게소,88890,1,127.18025341,36.8541036095
21005,휴게소,88881,1,127.18099605729999,36.8558120518
21005,휴게소,88872,1,127.18104515389999,36.855749669
21005,휴게소,88895,1,127.1810847299,36.8558191377
21005,휴게소,88888,1,127.1801682589,36.8540242507
21005,휴게소,88883,1,127.1807314852,36.8549240934
21005,휴게소,88869,1,127.18104811120001,36.8558895643
21005,휴게소,88894,1,127.1807798354,36.855917252
21005,휴게소,88875,1,127.1804843278,36.8546222899
21005,휴게소,88884,1,127.18005263170001,36.8538623929
21005,휴게소,88880,1,127.1809288673,36.8558333192
21005,휴게소,88896,1,127.1812512908,36.8557977017
21005,휴게소,94990,1,127.1807523899,36.853344053200004
21005,휴게소,122190,1,127.19289564889999,36.867089030500004
21005,휴게소,82293,1,127.19250105430001,36.9429250963
21005,휴게소,82298,1,127.1923985007,36.9430595503
21005,휴게소,82292,1,127.1923995989,36.9429525113
21005,휴게소,82260,1,127.19281764360001,36.943192908
21005,휴게소,82272,1,127.1921341619,36.942917083000005
21005,휴게소,82255,1,127.1936016728,36.9430681996
21005,휴게소,82257,1,127.1933223632,36.942975528699996
21005,휴게소,82259,1,127.1929383445,36.9429795773
21005,휴게소,82266,1,127.1908668043,36.9431116569
21005,휴게소,82270,1,127.1918288271,36.9429425962
21005,휴게소,82268,1,127.1900134716,36.9427344587
21005,휴게소,82264,1,127.19047552459999,36.9431844376
21005,휴게소,82261,1,127.1930727991,36.943163709699995
21005,휴게소,82297,1,127.1918533232,36.9431334572
21005,휴게소,82271,1,127.191953949,36.94294527
21005,휴게소,82262,1,127.1927388913,36.9430504419
21005,휴게소,82258,1,127.19271471200001,36.9433032438
21005,휴게소,82295,1,127.1923938699,36.9432694318
21005,휴게소,82263,1,127.1909328035,36.943221983499996
21005,휴게소,82294,1,127.1921586492,36.9433595527
21005,휴게소,82296,1,127.1924348047,36.9432292798
21005,휴게소,82269,1,127.18998399870001,36.9424574766
21005,휴게소,82256,1,127.1933419804,36.9429229523
21005,휴게소,82265,1,127.19121816629999,36.9431895804
21005,휴게소,82267,1,127.189931175,36.9427697101
3007,마을공동시설,53464,1,127.12643020770001,36.786894994899995
3007,마을공동시설,14637,1,127.13109500569999,36.790102757199996
3007,마을공동시설,14636,1,127.1311208452,36.7900614137
3007,마을공동시설,27169,1,127.1295197651,36.791564325500005
3007,마을공동시설,44884,1,127.22254640889999,36.7413421373
3007,마을공동시설,50561,1,127.09261919549999,36.740130853000004
3007,마을공동시설,10554,1,127.2626591359,36.754751333899996
3007,마을공동시설,50118,1,127.26609754520001,36.7596320721
3007,마을공동시설,64072,1,127.14893580120001,36.799091165300005
