gid,경도,위도
다바578539,127.0282324178,36.6825842793
다바578540,127.0282269123,36.6834857398
다바578541,127.0282214066,36.6843872002
다바578542,127.0282159007,36.6852886604
다바578543,127.0282103945,36.6861901205
다바578544,127.0282048880,36.6870915805
다바578545,127.0281993813,36.6879930403
다바578546,127.0281938744,36.6888945000
다바579509,127.0295163009,36.6555448248
다바579510,127.0295108158,36.6564462895
다바579511,127.0295053305,36.6573477542
다바579512,127.0294998449,36.6582492187
다바579513,127.0294943591,36.6591506831
다바579514,127.0294888731,36.6600521473
다바579515,127.0294833868,36.6609536114
다바579516,127.0294779002,36.6618550753
다바579517,127.0294724134,36.6627565391
다바579518,127.0294669264,36.6636580028
다바579519,127.0294614391,36.6645594663
다바579520,127.0294559516,36.6654609297
다바579521,127.0294504638,36.6663623930
다바579522,127.0294449758,36.6672638561
다바579523,127.0294394876,36.6681653191
다바579524,127.0294339991,36.6690667820
다바579525,127.0294285103,36.6699682447
다바579526,127.0294230213,36.6708697073
다바579527,127.0294175321,36.6717711697
다바579528,127.0294120426,36.6726726320
다바579529,127.0294065529,36.6735740942
다바579530,127.0294010629,36.6744755562
다바579531,127.0293955727,36.6753770181
다바579532,127.0293900823,36.6762784798
다바579533,127.0293845916,36.6771799414
다바579534,127.0293791007,36.6780814029
다바579535,127.0293736095,36.6789828643
다바579536,127.0293681180,36.6798843255
다바579537,127.0293626264,36.6807857865
다바579538,127.0293571345,36.6816872474
다바579539,127.0293516423,36.6825887082
다바579540,127.0293461499,36.6834901689
다바579541,127.0293406573,36.6843916294
다바579542,127.0293351644,36.6852930898
다바579543,127.0293296712,36.6861945500
다바579544,127.0293241778,36.6870960101
다바579545,127.0293186842,36.6879974701
다바579546,127.0293131904,36.6888989299
다바579547,127.0293076962,36.6898003896
다바580508,127.0306406059,36.6546477738
다바580509,127.0306351342,36.6555492389
다바580510,127.0306296621,36.6564507038
다바580511,127.0306241898,36.6573521686
다바580512,127.0306187173,36.6582536332
다바580513,127.0306132445,36.6591550977
다바580514,127.0306077715,36.6600565621
다바580515,127.0306022983,36.6609580263
다바580516,127.0305968248,36.6618594904
다바580517,127.0305913510,36.6627609544
다바580518,127.0305858770,36.6636624182
다바580519,127.0305804028,36.6645638819
다바580520,127.0305749283,36.6654653454
다바580521,127.0305694536,36.6663668088
다바580522,127.0305639787,36.6672682721
다바580523,127.0305585034,36.6681697352
다바580524,127.0305530280,36.6690711982
다바580525,127.0305475523,36.6699726611
다바580526,127.0305420764,36.6708741238
다바580527,127.0305366002,36.6717755864
다바580528,127.0305311238,36.6726770488
다바580529,127.0305256471,36.6735785111
다바580530,127.0305201702,36.6744799733
다바580531,127.0305146931,36.6753814353
다바580532,127.0305092157,36.6762828972
다바580533,127.0305037380,36.6771843590
다바580534,127.0304982601,36.6780858206
다바580535,127.0304927820,36.6789872821
다바580536,127.0304873036,36.6798887434
다바580537,127.0304818250,36.6807902046
다바580538,127.0304763462,36.6816916657
다바580539,127.0304708671,36.6825931266
다바580540,127.0304653877,36.6834945874
다바580541,127.0304599081,36.6843960481
다바580542,127.0304544283,36.6852975086
다바580543,127.0304489482,36.6861989690
다바580544,127.0304434679,36.6871004292
다바580545,127.0304379874,36.6880018894
다바580546,127.0304325066,36.6889033493
다바580547,127.0304270255,36.6898048092
다바581508,127.0317594264,36.6546521772
다바581509,127.0317539676,36.6555536424
다바581510,127.0317485086,36.6564551075
다바581511,127.0317430494,36.6573565724
다바581512,127.0317375899,36.6582580372
다바581513,127.0317321302,36.6591595019
다바581514,127.0317266702,36.6600609664
다바581515,127.0317212100,36.6609624307
다바581516,127.0317157496,36.6618638950
다바581517,127.0317102889,36.6627653591
다바581518,127.0317048279,36.6636668230
다바581519,127.0316993667,36.6645682869
다바581520,127.0316939053,36.6654697506
다바581521,127.0316884436,36.6663712141
다바581522,127.0316829817,36.6672726775
다바581523,127.0316775196,36.6681741408
다바581524,127.0316720572,36.6690756039
다바581525,127.0316665945,36.6699770669
다바581526,127.0316611317,36.6708785298
다바581527,127.0316556685,36.6717799925
다바581528,127.0316502052,36.6726814551
다바581529,127.0316447416,36.6735829176
다바581530,127.0316392777,36.6744843799
다바581531,127.0316338136,36.6753858421
다바581532,127.0316283493,36.6762873041
다바581533,127.0316228847,36.6771887660
다바581534,127.0316174199,36.6780902278
다바581535,127.0316119548,36.6789916894
다바581536,127.0316064895,36.6798931509
다바581537,127.0316010239,36.6807946122
다바581538,127.0315955581,36.6816960735
다바581539,127.0315900921,36.6825975345
다바581540,127.0315846258,36.6834989955
다바581541,127.0315791593,36.6844004563
다바581542,127.0315736925,36.6853019169
다바581543,127.0315682255,36.6862033775
다바581544,127.0315627582,36.6871048379
다바581545,127.0315572907,36.6880062981
다바581546,127.0315518230,36.6889077582
다바581547,127.0315463550,36.6898092182
다바581548,127.0315408868,36.6907106780
다바582508,127.0328782471,36.6546565701
다바582509,127.0328728014,36.6555580355
다바582510,127.0328673554,36.6564595007
다바582511,127.0328619092,36.6573609658
다바582512,127.0328564628,36.6582624307
다바582513,127.0328510161,36.6591638955
다바582514,127.0328455692,36.6600653602
다바582515,127.0328401220,36.6609668247
다바582516,127.0328346746,36.6618682891
다바582517,127.0328292269,36.6627697533
다바582518,127.0328237790,36.6636712174
다바582519,127.0328183309,36.6645726814
다바582520,127.0328128825,36.6654741452
다바582521,127.0328074339,36.6663756089
다바582522,127.0328019851,36.6672770725
다바582523,127.0327965360,36.6681785359
다바582524,127.0327910866,36.6690799992
다바582525,127.0327856370,36.6699814623
다바582526,127.0327801872,36.6708829253
다바582527,127.0327747371,36.6717843882
다바582528,127.0327692868,36.6726858509
다바582529,127.0327638362,36.6735873135
다바582530,127.0327583854,36.6744887760
다바582531,127.0327529344,36.6753902383
다바582532,127.0327474831,36.6762917005
다바582533,127.0327420316,36.6771931625
다바582534,127.0327365798,36.6780946244
다바582535,127.0327311278,36.6789960862
다바582536,127.0327256756,36.6798975478
다바582537,127.0327202231,36.6807990093
다바582538,127.0327147703,36.6817004707
다바582539,127.0327093173,36.6826019319
다바582540,127.0327038641,36.6835033930
다바582541,127.0326984107,36.6844048539
다바582542,127.0326929569,36.6853063147
다바582543,127.0326875030,36.6862077754
다바582544,127.0326820488,36.6871092359
다바582545,127.0326765944,36.6880106963
다바582546,127.0326711397,36.6889121566
다바582547,127.0326656848,36.6898136167
다바582548,127.0326602296,36.6907150767
다바583508,127.0339970680,36.6546609526
다바583509,127.0339916353,36.6555624180
다바583510,127.0339862024,36.6564638834
다바583511,127.0339807693,36.6573653486
다바583512,127.0339753359,36.6582668137
다바583513,127.0339699022,36.6591682786
다바583514,127.0339644684,36.6600697434
다바583515,127.0339590342,36.6609712081
다바583516,127.0339535999,36.6618726726
다바583517,127.0339481653,36.6627741370
다바583518,127.0339427304,36.6636756012
다바583519,127.0339372953,36.6645770654
다바583520,127.0339318600,36.6654785293
다바583521,127.0339264244,36.6663799932
다바583522,127.0339209886,36.6672814569
다바583523,127.0339155526,36.6681829204
다바583524,127.0339101163,36.6690843839
다바583525,127.0339046797,36.6699858472
다바583526,127.0338992430,36.6708873103
다바583527,127.0338938059,36.6717887733
다바583528,127.0338883687,36.6726902362
다바583529,127.0338829312,36.6735916989
다바583530,127.0338774934,36.6744931615
다바583531,127.0338720554,36.6753946240
다바583532,127.0338666172,36.6762960863
다바583533,127.0338611787,36.6771975485
다바583534,127.0338557400,36.6780990106
다바583535,127.0338503011,36.6790004725
다바583536,127.0338448619,36.6799019342
다바583537,127.0338394224,36.6808033959
다바583538,127.0338339828,36.6817048574
다바583539,127.0338285428,36.6826063187
다바583540,127.0338231027,36.6835077800
다바583541,127.0338176623,36.6844092411
다바583542,127.0338122216,36.6853107020
다바583543,127.0338067807,36.6862121628
다바583544,127.0338013396,36.6871136235
다바583545,127.0337958982,36.6880150840
다바583546,127.0337904566,36.6889165444
다바583547,127.0337850148,36.6898180047
다바583548,127.0337795727,36.6907194648
다바583549,127.0337741303,36.6916209248
다바584509,127.0351104695,36.6555667901
다바584510,127.0351050497,36.6564682556
다바584511,127.0350996296,36.6573697209
다바584512,127.0350942092,36.6582711862
다바584513,127.0350887886,36.6591726512
다바584514,127.0350833678,36.6600741162
다바584515,127.0350779467,36.6609755810
다바584516,127.0350725254,36.6618770457
다바584517,127.0350671038,36.6627785102
다바584518,127.0350616820,36.6636799746
다바584519,127.0350562600,36.6645814388
다바584520,127.0350508377,36.6654829030
다바584521,127.0350454152,36.6663843669
다바584522,127.0350399924,36.6672858308
다바584523,127.0350345694,36.6681872945
다바584524,127.0350291462,36.6690887581
다바584525,127.0350237227,36.6699902215
다바584526,127.0350182990,36.6708916848
다바584527,127.0350128750,36.6717931479
다바584528,127.0350074508,36.6726946109
다바584529,127.0350020263,36.6735960738
다바584530,127.0349966017,36.6744975366
다바584531,127.0349911767,36.6753989992
다바584532,127.0349857516,36.6763004616
다바584533,127.0349803261,36.6772019240
다바584534,127.0349749005,36.6781033862
다바584535,127.0349694746,36.6790048482
다바584536,127.0349640484,36.6799063101
다바584537,127.0349586221,36.6808077719
다바584538,127.0349531954,36.6817092336
다바584539,127.0349477686,36.6826106951
다바584540,127.0349423415,36.6835121564
다바584541,127.0349369141,36.6844136177
다바584542,127.0349314866,36.6853150788
다바584543,127.0349260587,36.6862165397
다바584544,127.0349206307,36.6871180005
다바584545,127.0349152023,36.6880194612
다바584546,127.0349097738,36.6889209218
다바584547,127.0349043450,36.6898223822
다바584548,127.0348989160,36.6907238424
다바584549,127.0348934867,36.6916253026
다바585509,127.0362293040,36.6555711516
다바585510,127.0362238972,36.6564726173
다바585511,127.0362184901,36.6573740828
다바585512,127.0362130828,36.6582755481
다바585513,127.0362076752,36.6591770133
다바585514,127.0362022674,36.6600784784
다바585515,127.0361968594,36.6609799434
다바585516,127.0361914511,36.6618814082
다바585517,127.0361860426,36.6627828729
다바585518,127.0361806339,36.6636843374
다바585519,127.0361752249,36.6645858018
다바585520,127.0361698157,36.6654872661
다바585521,127.0361644062,36.6663887302
다바585522,127.0361589965,36.6672901942
다바585523,127.0361535865,36.6681916580
다바585524,127.0361481763,36.6690931217
다바585525,127.0361427659,36.6699945853
다바585526,127.0361373552,36.6708960487
다바585527,127.0361319443,36.6717975120
다바585528,127.0361265332,36.6726989752
다바585529,127.0361211218,36.6736004382
다바585530,127.0361157101,36.6745019011
다바585531,127.0361102982,36.6754033639
다바585532,127.0361048861,36.6763048265
다바585533,127.0360994738,36.6772062889
다바585534,127.0360940612,36.6781077513
다바585535,127.0360886483,36.6790092135
다바585536,127.0360832353,36.6799106755
