X_COORD,Y_COORD,total
956333.991787,1850829.14739,2.3
956333.991787,1850879.14739,2.4799999999999995
956333.991787,1850929.14739,1.46
956383.991787,1850829.14739,1.1600000000000004
956383.991787,1850879.14739,1.2
956383.991787,1850979.14739,9.739999999999998
956383.991787,1851029.14739,0.6800000000000002
956433.991787,1850829.14739,0.41000000000000014
956433.991787,1851029.14739,17.630000000000003
956483.991787,1850829.14739,1.4400000000000004
956533.991787,1851029.14739,2.5
956583.991787,1850779.14739,0.45000000000000007
956583.991787,1851029.14739,2.3500000000000005
956633.991787,1851079.14739,5.059999999999999
956733.991787,1851129.14739,0.98
956783.991787,1851129.14739,1.01
956783.991787,1851179.14739,10.109999999999998
956783.991787,1851229.14739,7.619999999999999
956833.991787,1851179.14739,1.1400000000000001
956833.991787,1851229.14739,4.53
956833.991787,1851279.14739,12.069999999999999
956833.991787,1851379.14739,1.4100000000000001
956883.991787,1851229.14739,8.469999999999999
956883.991787,1851279.14739,71.33999999999999
956883.991787,1851329.14739,13.389999999999999
956883.991787,1851379.14739,66.71000000000001
956883.991787,1851429.14739,10.459999999999999
956933.991787,1851379.14739,83.50999999999999
956933.991787,1851429.14739,73.75
956983.991787,1851429.14739,81.43
956983.991787,1851529.14739,139.54
956983.991787,1851629.14739,88.49999999999999
957033.991787,1851429.14739,78.13000000000001
957033.991787,1851479.14739,21.09
957033.991787,1851629.14739,23.74
957083.991787,1851429.14739,21.09
957083.991787,1851479.14739,21.09
957083.991787,1851529.14739,21.09
957083.991787,1851729.14739,23.74
957133.991787,1851529.14739,23.74
957133.991787,1851579.14739,247.23
957133.991787,1851629.14739,88.49999999999999
957133.991787,1851679.14739,88.49999999999999
957133.991787,1851729.14739,88.49999999999999
957133.991787,1851779.14739,88.49999999999999
957183.991787,1851479.14739,21.09
957183.991787,1851679.14739,88.49999999999999
957183.991787,1851729.14739,252.78999999999996
957183.991787,1851779.14739,30.490000000000002
957233.991787,1851629.14739,88.49999999999999
957233.991787,1851679.14739,23.74
957233.991787,1851729.14739,23.74
957233.991787,1851779.14739,29.25000000000001
957233.991787,1851829.14739,2.5899999999999994
957233.991787,1851879.14739,2.5899999999999994
957283.991787,1851779.14739,29.25000000000001
957283.991787,1851829.14739,29.25000000000001
957283.991787,1851879.14739,2.489999999999999
957283.991787,1851929.14739,2.409999999999999
957283.991787,1852029.14739,9.489999999999998
957283.991787,1852179.14739,2.7399999999999993
957283.991787,1852229.14739,0.14
957333.991787,1851779.14739,2.5899999999999994
957333.991787,1851929.14739,10.25
957333.991787,1851979.14739,10.009999999999998
957333.991787,1852029.14739,9.2
957333.991787,1852079.14739,2.28
957333.991787,1852129.14739,0.77
957333.991787,1852179.14739,10.799999999999997
957333.991787,1852229.14739,10.989999999999998
957383.991787,1851979.14739,2.359999999999999
957383.991787,1852029.14739,20.0
957383.991787,1852079.14739,26.49
957383.991787,1852179.14739,10.129999999999999
957383.991787,1852229.14739,11.639999999999997
957433.991787,1852079.14739,31.149999999999995
957433.991787,1852129.14739,22.860000000000003
957433.991787,1852179.14739,0.8300000000000002
957483.991787,1852129.14739,0.15000000000000002
957483.991787,1852179.14739,1.2100000000000002
957533.991787,1852179.14739,0.3800000000000001
957533.991787,1852229.14739,0.7200000000000002
957533.991787,1852279.14739,1.8900000000000006
957583.991787,1852279.14739,40.48
957583.991787,1852329.14739,21.33
957583.991787,1852379.14739,32.949999999999996
957633.991787,1852329.14739,2.389999999999999
957633.991787,1852379.14739,32.949999999999996
957633.991787,1852429.14739,4.44
957633.991787,1852529.14739,0.8800000000000001
957683.991787,1852329.14739,1.5400000000000005
957683.991787,1852429.14739,11.059999999999999
957683.991787,1852479.14739,11.839999999999996
957683.991787,1852529.14739,2.6399999999999997
957683.991787,1852579.14739,3.42
957733.991787,1852379.14739,1.05
957733.991787,1852479.14739,3.2
957733.991787,1852529.14739,11.309999999999999
957733.991787,1852579.14739,0.7400000000000002
957733.991787,1852729.14739,1.05
957783.991787,1852379.14739,0.7400000000000002
957783.991787,1852429.14739,0.8300000000000002
957783.991787,1852479.14739,2.389999999999999
957783.991787,1852529.14739,15.94
957783.991787,1852579.14739,15.94
957783.991787,1852629.14739,1.1000000000000003
957783.991787,1852679.14739,2.76
957833.991787,1852529.14739,0.27
957833.991787,1852579.14739,1.3500000000000003
957833.991787,1852629.14739,1.5100000000000005
957833.991787,1852679.14739,20.1
957833.991787,1852729.14739,1.0100000000000002
957833.991787,1852779.14739,0.19999999999999998
957833.991787,1853179.14739,27.040000000000006
957883.991787,1852479.14739,0.3800000000000001
957883.991787,1852729.14739,1.0000000000000002
957883.991787,1852779.14739,3.6500000000000004
957883.991787,1852829.14739,0.9200000000000002
957883.991787,1853079.14739,27.060000000000013
957883.991787,1853129.14739,116.11000000000001
957933.991787,1852779.14739,1.7600000000000002
957933.991787,1852829.14739,0.8900000000000001
957933.991787,1852879.14739,0.18999999999999997
957933.991787,1853079.14739,116.23000000000002
957933.991787,1854379.14739,0.0
957983.991787,1852779.14739,0.17
