건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
1001,단독주택,53463,0,127.123445401,36.7857694617
1001,단독주택,53462,0,127.1232694551,36.7857657799
1001,단독주택,53461,0,127.12343276629998,36.7859185592
1001,단독주택,53431,0,127.1557126409,36.781042999600004
1001,단독주택,74127,0,127.1610103535,36.7807076174
1001,단독주택,74126,0,127.1605790421,36.7804727546
1001,단독주택,74125,0,127.1603491441,36.7807852142
1001,단독주택,74128,0,127.16155232969999,36.781001588
1001,단독주택,53470,0,127.2229874644,36.7733693448
1001,단독주택,53471,0,127.2231979721,36.7733600446
1001,단독주택,53472,0,127.2237593027,36.7730347289
1001,단독주택,53465,0,127.23295562870001,36.7685493639
1001,단독주택,140453,0,127.2383307669,36.765818197899996
1001,단독주택,67256,0,127.12841946729999,36.7914029023
1001,단독주택,27171,0,127.12844232709999,36.7915723649
1001,단독주택,136199,0,127.1266302,36.7907959725
1001,단독주택,26370,0,127.12872574049999,36.7918059527
1001,단독주택,26359,0,127.128415753,36.791772858899996
1001,단독주택,26358,0,127.12847841700001,36.791713329699995
1001,단독주택,26356,0,127.12856501110001,36.7917568091
1001,단독주택,26357,0,127.12831572440001,36.791740190300004
1001,단독주택,26336,0,127.1283977212,36.814118717199996
1001,단독주택,149533,0,127.1290190051,36.8147152819
1001,단독주택,143735,0,127.12881704860001,36.8142786023
1001,단독주택,66511,0,127.1296165344,36.815618298400004
1001,단독주택,66372,0,127.12962392860001,36.8168118885
1001,단독주택,66374,0,127.12959270290001,36.8168705431
1001,단독주택,66373,0,127.12962015120002,36.8167108452
1001,단독주택,66423,0,127.1299794924,36.8163277008
1001,단독주택,66426,0,127.1300744563,36.8162191183
1001,단독주택,66424,0,127.1299745733,36.816303282199996
1001,단독주택,66376,0,127.12948556629999,36.8167926147
1001,단독주택,66375,0,127.1294984021,36.8168500954
1001,단독주택,137939,0,127.1298404979,36.8162116491
1001,단독주택,66410,0,127.1293671572,36.817046665599996
1001,단독주택,66411,0,127.12949123989999,36.8169957618
1001,단독주택,66413,0,127.1294096135,36.817046661
1001,단독주택,66414,0,127.1294459114,36.816956576799996
1001,단독주택,66412,0,127.1293597651,36.8169860953
1001,단독주택,66407,0,127.12945317219999,36.8171407832
1001,단독주택,26330,0,127.1291646796,36.8171774846
1001,단독주택,26329,0,127.1290365903,36.8171727191
1001,단독주택,26327,0,127.12916273340001,36.817101647
1001,단독주택,26326,0,127.1292260874,36.8170913512
1001,단독주택,26328,0,127.1292251536,36.8171286685
1001,단독주택,26331,0,127.129242766,36.8170256333
1001,단독주택,26333,0,127.1292730899,36.816973777600005
1001,단독주택,26332,0,127.1292446165,36.8169486041
1001,단독주택,26334,0,127.1292889073,36.8168359689
1001,단독주택,26335,0,127.1292141172,36.8168956917
1001,단독주택,66371,0,127.12902001319999,36.8168780743
1001,단독주택,66369,0,127.1290100252,36.8169216088
1001,단독주택,66370,0,127.1289483077,36.8168790876
1001,단독주택,66368,0,127.1291430327,36.8168596379
1001,단독주택,66367,0,127.128951576,36.816819524
1001,단독주택,66430,0,127.1292902344,36.815898747
1001,단독주택,66431,0,127.1293407756,36.815841098
1001,단독주택,66429,0,127.1290997258,36.815949039
1001,단독주택,66432,0,127.12919158129999,36.81591327
1001,단독주택,66428,0,127.1290510445,36.8159292669
1001,단독주택,66358,0,127.1288108936,36.8170115225
1001,단독주택,66415,0,127.1288860632,36.817133356199996
1001,단독주택,66417,0,127.12888955780001,36.8173278079
1001,단독주택,66416,0,127.1286959263,36.817366730799996
1001,단독주택,66419,0,127.12780433959999,36.817120905100005
1001,단독주택,66418,0,127.1277448636,36.8170823117
1001,단독주택,66434,0,127.12844640620001,36.815452800500005
1001,단독주택,66433,0,127.1284975912,36.8154206089
1001,단독주택,66421,0,127.1281378601,36.815400848
1001,단독주택,66563,0,127.1283372825,36.8155858249
1001,단독주택,66562,0,127.12817191149999,36.8155494029
1001,단독주택,66561,0,127.1283548351,36.8155871171
1001,단독주택,66566,0,127.1281378664,36.8156990636
1001,단독주택,66567,0,127.1281529001,36.8156513159
1001,단독주택,66564,0,127.1282609731,36.8158383122
1001,단독주택,66565,0,127.12821811799999,36.8157673293
1001,단독주택,66557,0,127.1284714246,36.8158253142
1001,단독주택,66560,0,127.12841079340001,36.8156792035
1001,단독주택,66558,0,127.1285716721,36.8158699536
1001,단독주택,66559,0,127.1286146586,36.8158344083
1001,단독주택,66555,0,127.12863369620001,36.8159519704
1001,단독주택,66556,0,127.12874702059999,36.8159601265
1001,단독주택,66572,0,127.1287226992,36.815911398000004
1001,단독주택,66552,0,127.12873005860001,36.8160896988
1001,단독주택,66554,0,127.12865849209999,36.8160367815
1001,단독주택,66551,0,127.1287107712,36.8161773041
1001,단독주택,66553,0,127.12872564950001,36.8160454007
1001,단독주택,66359,0,127.12769285780001,36.8170376672
1001,단독주택,66534,0,127.1285383348,36.8161687578
1001,단독주택,66535,0,127.12848985149999,36.8160341155
1001,단독주택,66530,0,127.12876471979999,36.8163189793
1001,단독주택,66531,0,127.1288615216,36.8163358865
1001,단독주택,66533,0,127.1287751034,36.8162724265
1001,단독주택,66532,0,127.12870947969999,36.8163225364
1001,단독주택,66536,0,127.12865499360001,36.816312779200004
1001,단독주택,66549,0,127.12897233059999,36.8160246215
1001,단독주택,66548,0,127.1289538313,36.8160757072
1001,단독주택,66550,0,127.1288996002,36.8160056766
1001,단독주택,66537,0,127.1291997292,36.8163421569
1001,단독주택,66538,0,127.12926023950001,36.81639184
1001,단독주택,66539,0,127.1291292562,36.8163073105
1001,단독주택,66523,0,127.1294524265,36.816299451199995
1001,단독주택,66522,0,127.129491481,36.8164075469
1001,단독주택,66518,0,127.12963317100001,36.8164622386
1001,단독주택,66517,0,127.12972305219999,36.8165143811
1001,단독주택,66354,0,127.1298211773,36.816578235
1001,단독주택,66355,0,127.1299134481,36.8165558646
1001,단독주택,66380,0,127.1292173027,36.8165208375
1001,단독주택,66388,0,127.12934593790001,36.8164355663
1001,단독주택,66379,0,127.1291792574,36.816623314299996
1001,단독주택,66378,0,127.129106059,36.8166445255
1001,단독주택,66382,0,127.12925636450001,36.8166845508
1001,단독주택,66387,0,127.1290294256,36.8164766232
1001,단독주택,66377,0,127.1290910124,36.8163912497
1001,단독주택,66381,0,127.12898083450001,36.816371963899996
1001,단독주택,66389,0,127.12912509479999,36.8164020398
1001,단독주택,66384,0,127.1290035955,36.816581568800004
1001,단독주택,66383,0,127.12898918290001,36.816652329
1001,단독주택,66385,0,127.1289896884,36.8166864293
1001,단독주택,66386,0,127.1289285417,36.8165090484
1001,단독주택,66366,0,127.1287321777,36.816832674000004
1001,단독주택,135842,0,127.12975876540001,36.8168050131
1001,단독주택,66405,0,127.1298203959,36.8169799275
1001,단독주택,66406,0,127.1299462107,36.8169731443
